gene ID	gene name	p-value	K	Ks
7516	XRCC2	2.3688503466327e-09	7	4
5890	RAD51B	1.21567125939183e-09	37	6
641	BLM	1.06165205262087e-08	51	6
472	ATM	6.71372938363561e-08	114	7
2177	FANCD2	1.89718074494576e-09	37	6
545	ATR	4.85556693967624e-10	89	8
1111	CHEK1	4.16025734568224e-10	52	7
4436	MSH2	1.53560958827149e-11	56	8
2956	MSH6	1.03774285696357e-12	40	8
55655	NLRP2	1.72853563497384e-13	18	7
10111	RAD50	1.46704719909418e-13	50	9
4361	MRE11A	9.46112374812991e-15	57	10
11073	TOPBP1	1.29641038135274e-15	30	9
9656	MDC1	2.19079754221848e-15	31	9
580	BARD1	9.81370271216153e-15	78	11
5981	RFC1	3.09179823584866e-14	59	10
4292	MLH1	3.21669660339099e-15	126	13
5984	RFC4	1.97467962088875e-16	36	10
5982	RFC2	3.32703877257206e-17	45	11
571	BACH1	5.42579064054395e-16	15	8
5932	RBBP8	3.31994023926104e-14	36	9
64421	DCLRE1C	1.92468537670547e-13	8	6
84142	FAM175A	6.36897254547255e-13	9	6
51720	UIMC1	7.35106824958615e-13	47	9
3014	H2AFX	2.57604027045123e-12	142	12
5591	PRKDC	2.14779965762211e-13	148	13
7520	XRCC5	1.11989742406265e-12	69	10
3981	LIG4	6.25853387875543e-13	16	7
7486	WRN	8.25947297697591e-13	28	8
6117	RPA1	1.20227543361271e-13	102	12
6118	RPA2	2.06077036884424e-13	78	11
7158	TP53BP1	5.5292597663524e-13	60	10
7014	TERF2	1.82920310451066e-12	29	8
2547	XRCC6	1.57908952320336e-13	128	13
142	PARP1	2.8426355384905e-13	132	13
5111	PCNA	5.47465327591324e-14	219	16
2178	FANCE	3.07058272085041e-14	18	8
6119	RPA3	4.55671778534011e-14	44	10
1017	CDK2	1.74423524353769e-14	369	20
5422	POLA1	7.19112900550351e-16	43	11
5426	POLE	1.96599286520093e-17	32	11
890	CCNA2	8.095283274837e-18	56	13
5424	POLD1	1.38527098002935e-19	42	13
3978	LIG1	9.81250404994379e-21	35	13
891	CCNB1	2.20586269574591e-18	65	14
7157	TP53	2.82701106624713e-16	448	24
983	CDK1	8.70511481480044e-17	290	21
7155	TOP2B	2.16736510092834e-17	56	13
7150	TOP1	1.42646343182552e-17	192	19
5557	PRIM1	3.90165190960824e-19	22	11
23649	POLA2	9.83237679186844e-21	56	15
5425	POLD2	9.255484410472e-22	28	13
10714	POLD3	9.38298376831253e-23	18	12
5558	PRIM2	2.70671564619891e-24	20	13
57804	POLD4	2.70671564619891e-24	20	13
56655	POLE4	9.49572658344877e-29	21	15
54107	POLE3	2.52125210064681e-29	25	16
5427	POLE2	2.30567743376069e-29	31	17
7153	TOP2A	1.25964289759683e-28	102	23
5884	RAD17	1.3365226500517e-18	22	11
5883	RAD9A	2.58174720375888e-16	32	11
5983	RFC3	3.9644358944578e-16	23	10
5985	RFC5	3.23813356002733e-16	32	11
7515	XRCC1	7.92621340786871e-16	34	11
3364	HUS1	1.51518212760446e-15	25	10
5810	RAD1	4.91517201742035e-17	19	10
2237	FEN1	9.39258851103909e-16	16	9
9557	CHD1L	5.17926846236223e-15	27	10
200558	APLF	1.98224902964905e-16	14	9
54386	TERF2IP	3.02490768352833e-14	21	9
7013	TERF1	9.33678231791948e-14	47	11
7518	XRCC4	1.55968159630173e-13	24	9
79840	NHEJ1	2.98269399225915e-13	6	6
5395	PMS2	8.07818713116021e-13	11	7
2175	FANCA	1.33138694296286e-12	75	12
2189	FANCG	5.23004778732567e-14	43	11
