Symbol	ID
ABCB1	5243
ABO	28
ACAA1	30
ACAD11	84129
ADAM19	8728
ADAM33	80332
ADAP1	11033
AIF1	199
AKT1	207
ALK	238
ALOX12	239
ALOX12B	242
ALOX15	246
ALOX15B	247
ALOX5	240
ALOX5AP	241
ALOXE3	59344
APC	324
APEX1	328
APOA2	336
AQP1	358
ARFRP1	10139
ATAD2	29028
ATG9B	285973
ATM	472
ATP12A	479
ATP2B1	490
ATP2C2	9914
ATRX	546
AURKA	6790
AURKB	9212
BCL2	596
BPI	671
BRAF	673
BRCA1	672
C1D	10438
C1QA	712
C1QB	713
C1QBP	708
C1QC	714
C1RL	51279
C1S	716
C2	717
C3	718
C4BPA	722
C4BPB	725
C5	727
C5AR1	728
C6	729
C7	730
C8A	731
C8B	732
C8G	733
C9	735
CACNA1A	773
CACNA1C	775
CACNA1C	100874369
CACNA1H	8912
CACNA1S	779
CACNA2D3	55799
CALCR	799
CAT	847
CBS	875
CBS	102724560
CCDC26	137196
CCDC26	728724
CCDC26	106144608
CCL1	6346
CCL11	6356
CCL13	6357
CCL18	6362
CCL2	6347
CCL20	6364
CCL24	6369
CCL26	10344
CCL5	6352
CCL7	6354
CCL8	6355
CCR1	1230
CCR3	1232
CCR4	1233
CCR6	1235
CCR7	1236
CCR8	1237
CCR9	10803
CD14	929
CD163	9332
CD180	4064
CD209	30835
CD46	4179
CD55	1604
CD68	968
CD93	22918
CDK1	983
CDK4	1019
CDKN1B	1027
CDKN2A	1029
CDKN2B	1030
CDKN2B-AS1	100048912
CFB	629
CHEK2	11200
CHI3L1	1116
CHRNA3	1136
CHRNA9	55584
CIC	23152
CLCA1	1179
CLCA2	9635
CLOCK	9575
CNTNAP1	8506
CORO1C	23603
COX8A	1351
CRP	1401
CRY1	1407
CRY2	1408
CSNK1E	1454
CTNNB1	1499
CTSZ	1522
CX3CR1	1524
CXCR1	3577
CXCR2	3579
CYBA	1535
CYP1A1	1543
CYP21A2	1589
DAB2	1601
DAXX	1616
DAXX	113523636
DEF6	50619
DEFA3	1668
DEFA4	1669
DEFA5	1670
DEFA6	1671
DEFB1	1672
DEFB118	117285
DEFB119	245932
DEFB126	81623
DEFB127	140850
DHX33	56919
DICER1	23405
DIO1	1733
DIO2	1734
DIO3	1735
DLG5	9231
DMBT1	1755
EFEMP1	2202
EFEMP2	30008
EGF	1950
EGFR	1956
EIF3H	8667
EME1	146956
ERBB2	2064
ERBB3	2065
ERBB4	2066
ERCC1	2067
ERCC2	2068
ERCC6	2074
ETFA	2108
EXO1	9156
F5	2153
FCER1A	2205
FCER1G	2207
FCER2	2208
FCGR2A	2212
FCGRT	2217
FGF2	2247
FGFR1	2260
FLT3	2322
FOXJ2	55810
FUBP1	8880
FZD7	8324
GALNT6	11226
GFAP	2670
GGCT	79017
GLS	2744
GNAS	2778
GNB3	2784
GPR108	56927
GPX1	2876
GRIK4	2900
GRIN2B	2904
GRM1	2911
GSTM1	2944
GSTM3	2947
GSTP1	2950
GSTT1	2952
HARS2	23438
HES7	84667
HFE	3077
HGF	3082
HIF1A	3091
HLA-A	3105
HLA-B	3106
HLA-C	3107
HLA-DRB1	3123
HLA-G	3135
HNF4A	3172
HOXD4	3233
HRAS	3265
HSPA6	3310
ICAM1	3383
ICAM2	3384
ICAM3	3385
ICAM4	3386
ICAM5	7087
IDH1	3417
IDH2	3418
IFNB1	3456
IGF1	3479
IGF1R	3480
IGF2	3481
IGF2R	3482
IGFBP3	3486
IGHE	
IL10	3586
IL11RA	3590
IL13	3596
IL17C	27189
IL4	3565
IL4R	3566
IL6	3569
INSL3	3640
IPO8	10526
IRAK2	3656
IRAK3	11213
IRAK4	51135
ITGA5	3678
ITGB2	3689
ITPR3	3710
JAK2	3717
JAK3	3718
KCNA4	3739
KCNB2	9312
KCND2	3751
KCNG3	170850
KCNH1	3756
KCNH5	27133
KCNJ15	3772
KCNK1	3775
KDELR2	11014
KDR	3791
KIR2DL4	3805
KIR3DL2	3812
KIT	3815
KLHL30	377007
KLK1	3816
KLK15	55554
KLK2	3817
KLK4	9622
KLK6	5653
KLK7	5650
KLKB1	3818
KRAS	3845
LBP	3929
LMAN1	3998
LPO	4025
LRIG2	9860
LRIG3	121227
LRRC4B	94030
LTBR	4055
LY6G6D	58530
LY6G6D	110599563
LY96	23643
MAL	4118
MAP2K3	5606
MAPK1	5594
MASP1	5648
MASP2	10747
MBL2	4153
MBP	4155
MC4R	4160
MDK	4192
MDM2	4193
MDM4	4194
MEFV	4210
MGMT	4255
MIB1	57534
MICALL2	79778
MIF	4282
MIR196A2	406973
MLH1	4292
MMP1	4312
MMP2	4313
MOS	4342
MPO	4353
MSH2	4436
MSH6	2956
MTHFR	4524
MTR	4548
MUC6	4588
MUC7	4589
MVP	9961
MYC	4609
MYD88	4615
MYRIP	25924
NAB2	4665
NAT2	10
NBN	4683
NCF2	4688
NCF4	4689
NDUFS2	4720
NEIL3	55247
NF1	4763
NFKB1	4790
NFKBIA	4792
NIPAL4	348938
NMUR1	10316
NOD1	10392
NOD2	64127
NOS1	4842
NOS2	4843
NOS3	4846
NOTCH1	4851
NPAS2	4862
NQO1	1728
NR2F2	7026
NRAS	4893
NT5C1A	84618
NTRK2	4915
NUDT6	11162
OLIG2	10215
OR10J3	
OR10P1	121130
PAK3	5063
PALB2	79728
PDCD1	5133
PDCD10	11235
PDGFRA	5156
PER1	5187
PER3	8863
PFKFB2	5208
PHLDB1	23187
PIK3CA	5290
PIK3CD	5293
PIK3CG	5294
PIK3R1	5295
PKD1L2	114780
PLAUR	5329
PPARG	5468
PROX1	5629
PTEN	5728
PTGDR	5729
PTGS2	5743
PTPN11	5781
PTPRD	5789
RABGEF1	27342
RAC1	5879
RAC2	5880
RAD51	5888
RASGRF2	5924
RAVER1	125950
RB1	5925
RBBP6	5930
RBFOX1	54715
RECQL4	9401
REN	5972
RET	5979
RFC1	5981
RPL11	6135
RPL23A	6147
RPL5	6125
RPS20	6224
RPS5	6193
RPSA	3921
RRM1	6240
RTEL1	51750
RYR2	6262
RYR3	6263
S100B	6285
SCGB1A1	7356
SCN1B	6324
SCN3A	6328
SCN3B	55800
SCN5A	6331
SCN9A	6335
SCNN1A	6337
SDHA	6389
SDHB	6390
SDHC	6391
SDHD	6392
SECTM1	6398
SEL1L	6400
SELE	6401
SELP	6403
SELPLG	6404
SENP3	26168
SERPINB2	5055
SERPINB3	6317
SERPINC1	462
SERPINE1	5054
SERPING1	710
SERPINI1	5274
SLC11A1	6556
SLC12A5	57468
SLC1A2	6506
SLC2A11	66035
SLC2A4RG	56731
SLC30A9	10463
SLC39A11	201266
SLC39A4	55630
SLC39A9	55334
SLC5A7	60482
SLC8A1	6546
SLC9A1	6548
SLC9A2	6549
SLC9A4	389015
SLFN11	91607
SMARCA2	6595
SMARCA4	6597
SNORD87	
SOCS1	8651
SOCS2	8835
SOCS3	9021
SOCS4	122809
SOD1	6647
SOD2	6648
SOD3	6649
SOX4	6659
SSBP2	23635
STAG2	10735
STAT1	6772
STAT2	6773
STAT3	6774
STAT4	6775
STAT5A	6776
STAT5B	6777
STAT6	6778
STIM2	57620
STK19	8859
TBP	6908
TCN2	6948
TERC	
TERT	7015
TGFB1	7040
TICAM1	148022
TLR1	7096
TLR10	81793
TLR2	7097
TLR3	7098
TLR4	7099
TLR6	10333
TLR9	54106
TMCO6	55374
TNF	7124
TNFRSF18	8784
TNFSF18	8995
TNFSF9	8744
TOLLIP	54472
TOX	9760
TP53	7157
TRAM1	23471
TREM2	54209
TRPM5	29850
TRPV5	56302
TSLP	85480
TUBB3	10381
TWF1	5756
TWF2	11344
TYK2	7297
UGT1A1	54658
UTS2R	2837
VCAM1	7412
VEGFA	7422
VHL	7428
VTI1A	143187
VWF	7450
WDHD1	11169
WT1	7490
XDH	7498
XRCC1	7515
XRCC3	7517
ZBTB46	140685
ZGPAT	84619
ZNF76	7629
ZP1	22917
