nodeName	altName	nodeAttr[nodesPresent, ]
AASS|10157	NA	blue
ABCA5|23461	NA	blue
ABCC13|150000	NA	blue
ABCC6P1|653190	NA	blue
ABCC6|368	NA	blue
ABLIM3|22885	NA	blue
ACAN|176	NA	blue
ACTL8|81569	NA	blue
ADAM19|8728	NA	blue
ADAM8|101	NA	blue
ADAMDEC1|27299	NA	blue
ADAMTS14|140766	NA	blue
ADHFE1|137872	NA	blue
AGAP11|119385	NA	blue
AGTR1|185	NA	blue
AIM1L|55057	NA	blue
AMT|275	NA	blue
AMY2B|280	NA	blue
ANKRD22|118932	NA	blue
ANLN|54443	NA	blue
ANO5|203859	NA	blue
APOBEC3B|9582	NA	blue
APOC2|344	NA	blue
ARC|23237	NA	blue
ARHGAP11A|9824	NA	blue
ASF1B|55723	NA	blue
ASPM|259266	NA	blue
ASPN|54829	NA	blue
ATP1A3|478	NA	blue
ATP1B2|482	NA	blue
ATP6V0D2|245972	NA	blue
AURKA|6790	NA	blue
AURKB|9212	NA	blue
BAI3|577	NA	blue
BGN|633	NA	blue
BIRC5|332	NA	blue
BLM|641	NA	blue
BMP8A|353500	NA	blue
BRIP1|83990	NA	blue
BUB1B|701	NA	blue
BUB1|699	NA	blue
C16orf59|80178	NA	blue
C16orf75|116028	NA	blue
C16orf89|146556	NA	blue
C1QTNF6|114904	NA	blue
C1orf135|79000	NA	blue
C1orf190|541468	NA	blue
C2orf54|79919	NA	blue
C9orf140|89958	NA	blue
CA9|768	NA	blue
CADM2|253559	NA	blue
CAMK2N2|94032	NA	blue
CAMP|820	NA	blue
CAPN11|11131	NA	blue
CAPN3|825	NA	blue
CASC5|57082	NA	blue
CASP14|23581	NA	blue
CBLN2|147381	NA	blue
CBX2|84733	NA	blue
CBX7|23492	NA	blue
CCDC158|339965	NA	blue
CCL11|6356	NA	blue
CCNA2|890	NA	blue
CCNB1|891	NA	blue
CCNB2|9133	NA	blue
CCNE1|898	NA	blue
CCNE2|9134	NA	blue
CCR8|1237	NA	blue
CD177|57126	NA	blue
CD80|941	NA	blue
CDC20|991	NA	blue
CDC25A|993	NA	blue
CDC25C|995	NA	blue
CDC45|8318	NA	blue
CDC6|990	NA	blue
CDCA2|157313	NA	blue
CDCA3|83461	NA	blue
CDCA5|113130	NA	blue
CDCA8|55143	NA	blue
CDK1|983	NA	blue
CDKN3|1033	NA	blue
CDT1|81620	NA	blue
CENPA|1058	NA	blue
CENPE|1062	NA	blue
CENPF|1063	NA	blue
CENPI|2491	NA	blue
CENPK|64105	NA	blue
CENPM|79019	NA	blue
CEP55|55165	NA	blue
CGA|1081	NA	blue
CHRNA1|1134	NA	blue
