	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
FAM72B|653820	blue	0.762635395702875	2.84473229606416e-40	0.869196778550066	5.2193057065786e-64	-0.604146828449977	8.80836324962838e-22	0.0724024005636624	0.30223121514654	-0.659362150718875	5.99211388673715e-27
CCNE1|898	blue	0.755545594628123	3.78208413199024e-39	0.80022594659428	5.80325580938097e-47	-0.508650872908989	6.89011534203163e-15	-0.0455558948921058	0.516590748175606	-0.610204824605366	2.67309879367318e-22
STIL|6491	blue	0.734717406747313	4.65483542074255e-36	0.900602488893373	2.15631675377872e-75	-0.455454944636112	6.81189452384423e-12	0.122794676651637	0.0794226763498083	-0.79570368537232	4.38480436493337e-46
ANLN|54443	blue	0.733248431225071	7.49608123945106e-36	0.953660663229868	7.64092078281032e-108	-0.597956680065248	2.90269962488694e-21	0.154051711775099	0.0274274920014438	-0.799286697906335	8.87017928901213e-47
MCM10|55388	blue	0.718358365029628	7.89999690975614e-34	0.904293227738931	5.61747349610769e-77	-0.60286881542721	1.12913098258067e-21	0.0768677359197648	0.27331061630781	-0.706018788463725	3.00281247144253e-32
CCNA2|890	blue	0.703326003591593	6.4781962948489e-32	0.940604927702024	3.42973224972495e-97	-0.574944843576844	1.96548848948432e-19	0.116502549423927	0.0962059055544691	-0.776569377418128	1.33865132432289e-42
CBX2|84733	blue	0.6979090354327	2.96448226750689e-31	0.713547250076965	3.33846586861092e-33	-0.431775236787521	1.02021047933304e-10	0.0322139986274285	0.646569573757252	-0.512541255632239	3.96413609402707e-15
CDC20|991	blue	0.695545655456921	5.69525674678694e-31	0.936096370290067	4.57052951590598e-94	-0.488277448083679	1.1140111571213e-13	0.150927911506937	0.030762259432573	-0.791739659213446	2.47624146509675e-45
RAD51AP1|10635	blue	0.690620696683082	2.17607744890621e-30	0.884817697947209	2.95604518202707e-69	-0.485305466041498	1.64663577860294e-13	0.142827544955643	0.0410563354115826	-0.780203698515587	3.10342218965841e-43
CDCA8|55143	blue	0.690529218967349	2.2303728478567e-30	0.955369403588636	1.83961264206383e-109	-0.555372705685196	5.5112474052635e-18	0.142742693938094	0.0411778883117149	-0.822802702452912	1.03473094087262e-51
TTK|7272	blue	0.686237835293782	7.01541150512252e-30	0.917991512594396	1.7784042747305e-83	-0.43972077739001	4.21067051960698e-11	0.165087838205158	0.0180058052490372	-0.803372403524265	1.37774172627019e-47
